lat,lon,alt,date,device,os,version
40.6689910889,-73.9643249512,33,2015-05-09 16:55:28,"iPhone6,1",8.1.3,1.1
40.6422157288,-73.9570236206,33,2015-05-09 17:01:52,"iPhone6,1",8.1.3,1.1
40.671913147,-73.9623031616,44.8131065369,2015-05-09 17:08:16,"iPhone6,1",8.1.3,1.1
40.6668663025,-73.9621963501,33,2015-05-09 17:40:16,"iPhone6,1",8.1.3,1.1
40.674621582,-73.9671554565,91.1436767578,2015-05-09 18:14:24,"iPhone6,1",8.1.3,1.1
40.6888084412,-73.9678878784,33,2015-05-09 20:01:04,"iPhone6,1",8.1.3,1.1
40.6933746338,-73.9721603394,33.1352539062,2015-05-09 22:45:20,"iPhone6,1",8.1.3,1.1
40.6935539246,-73.9658432007,33,2015-05-09 23:04:32,"iPhone6,1",8.1.3,1.1
40.6949157715,-73.9463424683,22.2882118225,2015-05-09 23:13:04,"iPhone6,1",8.1.3,1.1
40.6948471069,-73.9524993896,24.8418674469,2015-05-10 01:36:00,"iPhone6,1",8.1.3,1.1
40.6939926147,-73.9616546631,33,2015-05-10 01:40:16,"iPhone6,1",8.1.3,1.1
40.6894569397,-73.9680404663,36.7338829041,2015-05-10 01:48:48,"iPhone6,1",8.1.3,1.1
40.7185745239,-73.9881515503,15.2070159912,2015-05-10 02:18:40,"iPhone6,1",8.1.3,1.1
40.7215652466,-73.9834976196,10.8073959351,2015-05-10 02:29:20,"iPhone6,1",8.1.3,1.1
40.6931533813,-73.9869308472,12.9755325317,2015-05-10 05:39:12,"iPhone6,1",8.1.3,1.1
40.6838531494,-73.9669723511,15.100271225,2015-05-10 05:49:52,"iPhone6,1",8.1.3,1.1
40.6888580322,-73.9679718018,42.0374832153,2015-05-10 05:58:24,"iPhone6,1",8.1.3,1.1
